P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score,SetNo
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,15,1
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,0,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,15,1
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,30,1
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,40,1
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,0,1
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,AD,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,AD,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,30,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,AD,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,AD,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,AD,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,15,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,AD,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,AD,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,30,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,AD,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,AD,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,40,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,AD,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,15,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,30,2
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,2
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,15,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,15,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,AD,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,AD,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,AD,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,30,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,15,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,AD,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,AD,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,40,AD,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,AD,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,30,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,15,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,30,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,30,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,30,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,AD,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,AD,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,2,40,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,AD,40,3
Alize Cornet,Mirjana Lucic Baroni,hard,2,1,0,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,15,0,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,2,15,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,30,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,40,15,3
Alize Cornet,Mirjana Lucic Baroni,hard,1,1,0,0,3
Carla Suarez Navarro,Flavia Pennetta,hard,0,0,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,30,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,30,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,30,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,30,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,40,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,40,AD,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,30,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,40,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,40,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,15,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,30,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,40,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,40,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,40,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,40,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,AD,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,30,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,40,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,15,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,30,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,15,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,30,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,40,1
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,0,1
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,15,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,30,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,30,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,40,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,40,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,15,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,30,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,30,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,15,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,30,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,40,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,30,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,40,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,40,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,15,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,30,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,40,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,1,15,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,15,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,1,2,0,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,1,15,0,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,15,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,30,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,15,40,2
Carla Suarez Navarro,Flavia Pennetta,hard,2,2,0,0,2
Garbine Muguruza,Angelique Kerber,hard,0,0,0,0,1
Garbine Muguruza,Angelique Kerber,hard,1,2,0,15,1
Garbine Muguruza,Angelique Kerber,hard,1,2,0,30,1
Garbine Muguruza,Angelique Kerber,hard,1,1,15,30,1
Garbine Muguruza,Angelique Kerber,hard,1,2,15,40,1
Garbine Muguruza,Angelique Kerber,hard,1,2,0,0,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,15,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,30,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,40,1
Garbine Muguruza,Angelique Kerber,hard,2,1,15,40,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,0,1
Garbine Muguruza,Angelique Kerber,hard,1,2,0,15,1
Garbine Muguruza,Angelique Kerber,hard,1,1,15,15,1
Garbine Muguruza,Angelique Kerber,hard,1,1,30,15,1
Garbine Muguruza,Angelique Kerber,hard,1,1,40,15,1
Garbine Muguruza,Angelique Kerber,hard,1,2,40,30,1
Garbine Muguruza,Angelique Kerber,hard,1,2,40,40,1
Garbine Muguruza,Angelique Kerber,hard,1,1,AD,40,1
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,1
Garbine Muguruza,Angelique Kerber,hard,2,1,15,0,1
Garbine Muguruza,Angelique Kerber,hard,2,2,15,15,1
Garbine Muguruza,Angelique Kerber,hard,2,2,15,30,1
Garbine Muguruza,Angelique Kerber,hard,2,2,15,40,1
Garbine Muguruza,Angelique Kerber,hard,2,1,30,40,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,30,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,40,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,15,1
Garbine Muguruza,Angelique Kerber,hard,2,1,15,15,1
Garbine Muguruza,Angelique Kerber,hard,2,1,30,15,1
Garbine Muguruza,Angelique Kerber,hard,2,1,40,15,1
Garbine Muguruza,Angelique Kerber,hard,2,2,40,30,1
Garbine Muguruza,Angelique Kerber,hard,2,1,0,0,1
Garbine Muguruza,Angelique Kerber,hard,1,2,0,15,1
Garbine Muguruza,Angelique Kerber,hard,1,2,0,30,1
Garbine Muguruza,Angelique Kerber,hard,1,1,15,30,1
Garbine Muguruza,Angelique Kerber,hard,1,2,15,40,1
Garbine Muguruza,Angelique Kerber,hard,1,1,30,40,1
Garbine Muguruza,Angelique Kerber,hard,1,2,0,0,1
Garbine Muguruza,Angelique Kerber,hard,2,1,15,0,1
Garbine Muguruza,Angelique Kerber,hard,2,2,15,15,1
Garbine Muguruza,Angelique Kerber,hard,2,2,15,30,1
Garbine Muguruza,Angelique Kerber,hard,2,2,15,40,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,30,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,40,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,15,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,30,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,40,1
Garbine Muguruza,Angelique Kerber,hard,2,2,0,0,1
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,30,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,40,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,2
Garbine Muguruza,Angelique Kerber,hard,2,1,15,0,2
Garbine Muguruza,Angelique Kerber,hard,2,2,15,15,2
Garbine Muguruza,Angelique Kerber,hard,2,2,15,30,2
Garbine Muguruza,Angelique Kerber,hard,2,2,15,40,2
Garbine Muguruza,Angelique Kerber,hard,2,2,0,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,30,0,2
Garbine Muguruza,Angelique Kerber,hard,1,2,30,15,2
Garbine Muguruza,Angelique Kerber,hard,1,2,30,30,2
Garbine Muguruza,Angelique Kerber,hard,1,2,30,40,2
Garbine Muguruza,Angelique Kerber,hard,1,1,40,40,2
Garbine Muguruza,Angelique Kerber,hard,1,1,AD,40,2
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,2
Garbine Muguruza,Angelique Kerber,hard,2,2,0,15,2
Garbine Muguruza,Angelique Kerber,hard,2,2,0,30,2
Garbine Muguruza,Angelique Kerber,hard,2,2,0,40,2
Garbine Muguruza,Angelique Kerber,hard,2,2,0,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,2
Garbine Muguruza,Angelique Kerber,hard,1,2,15,15,2
Garbine Muguruza,Angelique Kerber,hard,1,1,30,15,2
Garbine Muguruza,Angelique Kerber,hard,1,1,40,15,2
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,2
Garbine Muguruza,Angelique Kerber,hard,2,1,15,0,2
Garbine Muguruza,Angelique Kerber,hard,2,1,30,0,2
Garbine Muguruza,Angelique Kerber,hard,2,1,40,0,2
Garbine Muguruza,Angelique Kerber,hard,2,2,40,15,2
Garbine Muguruza,Angelique Kerber,hard,2,1,0,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,2
Garbine Muguruza,Angelique Kerber,hard,1,2,15,15,2
Garbine Muguruza,Angelique Kerber,hard,1,1,30,15,2
Garbine Muguruza,Angelique Kerber,hard,1,1,40,15,2
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,2
Garbine Muguruza,Angelique Kerber,hard,2,1,15,0,2
Garbine Muguruza,Angelique Kerber,hard,2,2,15,15,2
Garbine Muguruza,Angelique Kerber,hard,2,1,30,15,2
Garbine Muguruza,Angelique Kerber,hard,2,2,30,30,2
Garbine Muguruza,Angelique Kerber,hard,2,1,40,30,2
Garbine Muguruza,Angelique Kerber,hard,2,1,0,0,2
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,3
Garbine Muguruza,Angelique Kerber,hard,1,1,30,0,3
Garbine Muguruza,Angelique Kerber,hard,1,2,30,15,3
Garbine Muguruza,Angelique Kerber,hard,1,2,30,30,3
Garbine Muguruza,Angelique Kerber,hard,1,1,40,30,3
Garbine Muguruza,Angelique Kerber,hard,1,2,40,40,3
Garbine Muguruza,Angelique Kerber,hard,1,2,40,AD,3
Garbine Muguruza,Angelique Kerber,hard,1,1,40,40,3
Garbine Muguruza,Angelique Kerber,hard,1,2,40,AD,3
Garbine Muguruza,Angelique Kerber,hard,1,1,40,40,3
Garbine Muguruza,Angelique Kerber,hard,1,2,40,AD,3
Garbine Muguruza,Angelique Kerber,hard,1,2,0,0,3
Garbine Muguruza,Angelique Kerber,hard,2,2,0,15,3
Garbine Muguruza,Angelique Kerber,hard,2,1,15,15,3
Garbine Muguruza,Angelique Kerber,hard,2,1,30,15,3
Garbine Muguruza,Angelique Kerber,hard,2,1,40,15,3
Garbine Muguruza,Angelique Kerber,hard,2,2,40,30,3
Garbine Muguruza,Angelique Kerber,hard,2,2,40,40,3
Garbine Muguruza,Angelique Kerber,hard,2,2,40,AD,3
Garbine Muguruza,Angelique Kerber,hard,2,1,40,40,3
Garbine Muguruza,Angelique Kerber,hard,2,2,40,AD,3
Garbine Muguruza,Angelique Kerber,hard,2,1,40,40,3
Garbine Muguruza,Angelique Kerber,hard,2,1,AD,40,3
Garbine Muguruza,Angelique Kerber,hard,2,1,0,0,3
Garbine Muguruza,Angelique Kerber,hard,1,1,15,0,3
Garbine Muguruza,Angelique Kerber,hard,1,1,30,0,3
Garbine Muguruza,Angelique Kerber,hard,1,2,30,15,3
Garbine Muguruza,Angelique Kerber,hard,1,1,40,15,3
Garbine Muguruza,Angelique Kerber,hard,1,1,0,0,3
Garbine Muguruza,Angelique Kerber,hard,2,1,15,0,3
Garbine Muguruza,Angelique Kerber,hard,2,1,30,0,3
Garbine Muguruza,Angelique Kerber,hard,2,1,40,0,3
Garbine Muguruza,Angelique Kerber,hard,2,2,40,15,3
Garbine Muguruza,Angelique Kerber,hard,2,2,40,30,3
Garbine Muguruza,Angelique Kerber,hard,2,1,0,0,3
Garbine Muguruza,Angelique Kerber,hard,1,2,0,15,3
